exp_rep, bfly, algo, time, preprocess_time, iterations
1, fces, 3710095612100.18, 0.01, 2187.81, 1
1, fces, 37994931209876.95, 0.62, 2187.81, 120
1, fces, 34299978422497.67, 1.23, 2187.81, 248
1, fces, 38237439385270.35, 1.84, 2187.81, 389
1, fces, 38982160289183.84, 2.45, 2187.81, 540
1, fces, 37862919636599.88, 3.06, 2187.81, 699
1, fces, 38291668186433.88, 3.67, 2187.81, 869
1, fces, 38869638254035.71, 4.27, 2187.81, 1047
1, fces, 40793967421545.43, 4.87, 2187.81, 1240
1, fces, 40812039133613.69, 5.47, 2187.81, 1442
1, fces, 41235522244580.05, 6.07, 2187.81, 1651
1, fces, 40630830377008.38, 6.67, 2187.81, 1874
1, fces, 39589906244196.49, 7.27, 2187.81, 2107
1, fces, 39660394394306.51, 7.87, 2187.81, 2348
1, fces, 39964151668273.20, 8.47, 2187.81, 2608
1, fces, 39838959708738.69, 9.07, 2187.81, 2875
1, fces, 39852131615845.98, 9.67, 2187.81, 3153
1, fces, 39689555470001.15, 10.27, 2187.81, 3445
1, fces, 39534487302538.02, 10.87, 2187.81, 3755
1, fces, 39634414643114.87, 11.47, 2187.81, 4070
1, fces, 39809942177446.19, 12.07, 2187.81, 4388
1, fces, 40148808308907.67, 12.67, 2187.81, 4709
1, fces, 39832137678958.86, 13.28, 2187.81, 5039
1, fces, 39936234730152.91, 13.88, 2187.81, 5374
1, fces, 40004626747310.65, 14.48, 2187.81, 5719
1, fces, 40024794114491.31, 15.08, 2187.81, 6064
1, fces, 40008266787852.27, 15.68, 2187.81, 6408
1, fces, 39834604066422.79, 16.28, 2187.81, 6761
1, fces, 40024121830776.53, 16.88, 2187.81, 7114
1, fces, 40025104031298.66, 17.48, 2187.81, 7475
1, fces, 39970671011053.01, 18.08, 2187.81, 7840
1, fces, 39947803360353.67, 18.68, 2187.81, 8209
1, fces, 39800521648304.60, 19.28, 2187.81, 8589
1, fces, 39764172228556.85, 19.88, 2187.81, 8971
1, fces, 40019644002859.67, 20.48, 2187.81, 9344
1, fces, 40159811074086.64, 21.08, 2187.81, 9729
1, fces, 40036491216975.94, 21.68, 2187.81, 10122
