exp_rep, bfly, algo, time, iterations
1, fes, 70757957270819.95, 0.01, 3
1, fes, 38381541382195.58, 0.62, 111
1, fes, 37143496424615.54, 1.23, 228
1, fes, 36843367899305.12, 1.84, 351
1, fes, 35631563199674.12, 2.45, 483
1, fes, 35168072451091.02, 3.06, 623
1, fes, 35646675690840.13, 3.67, 776
1, fes, 36340305214739.98, 4.27, 935
1, fes, 39285397760856.83, 4.87, 1106
1, fes, 39215385409288.28, 5.47, 1291
1, fes, 39469476255046.02, 6.07, 1482
1, fes, 39441948070840.36, 6.68, 1698
1, fes, 41068365381966.33, 7.28, 1932
1, fes, 40828729244028.24, 7.88, 2171
1, fes, 40850648195095.94, 8.48, 2427
1, fes, 40879532095750.71, 9.08, 2723
1, fes, 41060370895001.81, 9.68, 3182
1, fes, 40183826770345.81, 10.28, 3651
1, fes, 40561476880735.53, 10.88, 4132
1, fes, 40200793653466.82, 11.48, 4629
1, fes, 39959312193207.87, 12.08, 5124
1, fes, 40083585150102.62, 12.68, 5636
1, fes, 40207686759906.54, 13.28, 6144
1, fes, 40925660325914.80, 13.88, 6672
1, fes, 40670185413964.19, 14.48, 7193
1, fes, 40739116749681.52, 15.08, 7719
1, fes, 40795015087719.16, 15.68, 8247
1, fes, 40706941636953.48, 16.28, 8786
1, fes, 40641878190102.39, 16.88, 9331
1, fes, 40701949580931.62, 17.48, 9871
1, fes, 40689094078614.67, 18.08, 10416
1, fes, 40872512683283.53, 18.68, 10967
1, fes, 41107960297130.89, 19.28, 11516
1, fes, 40928684088716.19, 19.88, 12079
1, fes, 40909831887892.09, 20.48, 12626
1, fes, 40790755673412.07, 21.08, 13180
1, fes, 40515714407146.23, 21.68, 13745
1, fes, 40563412733298.24, 22.28, 14302
1, fes, 40355998319827.40, 22.88, 14865
1, fes, 40298732389817.87, 23.48, 15432
1, fes, 40230266862346.07, 24.08, 15996
1, fes, 40140636112723.84, 24.68, 16562
1, fes, 40148936214215.02, 25.28, 17130
1, fes, 40198455367392.08, 25.88, 17700
1, fes, 40186461490031.74, 26.48, 18275
1, fes, 40213055340412.28, 27.08, 18835
1, fes, 40280313059426.16, 27.68, 19416
1, fes, 40257829505701.43, 28.28, 19990
1, fes, 40367438045251.40, 28.88, 20563
1, fes, 40320702151221.00, 29.48, 21127
1, fes, 40308103010818.42, 30.08, 21705
1, fes, 40334390230696.87, 30.68, 22270
1, fes, 40444743125855.19, 31.28, 22847
1, fes, 40316297303383.78, 31.88, 23428
1, fes, 40390130285864.07, 32.49, 24009
1, fes, 40459792798983.18, 33.10, 24589
1, fes, 40459246702046.53, 33.71, 25178
1, fes, 40419053509460.00, 34.32, 25760
1, fes, 40465471823934.27, 34.93, 26346
1, fes, 40395592023794.03, 35.54, 26926
1, fes, 40345852126941.08, 36.15, 27514
1, fes, 40324407565641.92, 36.76, 28070
1, fes, 40397887072074.77, 37.37, 28616
1, fes, 40377518527922.20, 37.98, 29143
1, fes, 40409253685668.98, 38.59, 29666
1, fes, 40388688112778.17, 39.20, 30186
1, fes, 40350736748401.74, 39.81, 30699
1, fes, 40326531862521.48, 40.42, 31197
1, fes, 40311288286280.71, 41.03, 31695
1, fes, 40424459655709.99, 41.64, 32191
1, fes, 40480356714626.33, 42.25, 32689
1, fes, 40544733529890.60, 42.86, 33179
1, fes, 40494649257433.93, 43.47, 33662
1, fes, 40520094761070.41, 44.08, 34149
1, fes, 40497374151003.42, 44.69, 34625
1, fes, 40430908365916.85, 45.30, 35105
1, fes, 40447976004792.99, 45.91, 35582
1, fes, 40539902335707.21, 46.52, 36058
1, fes, 40549112420408.59, 47.13, 36525
1, fes, 40570954650488.57, 47.74, 36996
1, fes, 40556153541095.94, 48.35, 37466
1, fes, 40571219042285.05, 48.96, 37934
1, fes, 40560474744257.71, 49.57, 38396
1, fes, 40567702269691.42, 50.18, 38852
1, fes, 40532796001822.97, 50.79, 39318
1, fes, 40526550214289.85, 51.40, 39775
1, fes, 40514536641725.63, 52.01, 40236
1, fes, 40527245365125.52, 52.62, 40691
1, fes, 40493361413004.45, 53.23, 41147
1, fes, 40458323805184.39, 53.84, 41604
1, fes, 40453255917680.96, 54.45, 42058
1, fes, 40443794056542.70, 55.06, 42509
1, fes, 40440510356388.91, 55.67, 42957
1, fes, 40468436757276.88, 56.28, 43403
1, fes, 40420747570735.52, 56.89, 43859
1, fes, 40437193646258.26, 57.50, 44307
1, fes, 40431139108909.97, 58.12, 44764
1, fes, 40395705828526.73, 58.73, 45216
1, fes, 40403778470701.70, 59.34, 45666
1, fes, 40380258550163.95, 59.95, 46119
2, fes, 30120456741250.38, 0.01, 4
2, fes, 40450316558225.04, 0.62, 252
2, fes, 41091432156328.32, 1.23, 534
2, fes, 42555724724172.69, 1.84, 848
2, fes, 41057937558690.12, 2.45, 1203
2, fes, 42675623138882.02, 3.06, 1580
2, fes, 41754643387520.73, 3.67, 1983
2, fes, 42467487664119.82, 4.27, 2392
2, fes, 41926173764618.65, 4.87, 2811
2, fes, 41948440490626.72, 5.47, 3238
2, fes, 42095916359221.07, 6.07, 3667
2, fes, 42074880836799.49, 6.67, 4100
2, fes, 41902362070292.73, 7.27, 4537
