exp_rep, bfly, algo, time, preprocess_time, iterations
1, pcs, 43903666339419.03, 0.01, 2625.73, 290
1, pcs, 40979412712449.45, 0.62, 2625.73, 49012
1, pcs, 41301147140240.08, 1.23, 2625.73, 111730
1, pcs, 41105688838775.62, 1.84, 2625.73, 178110
1, pcs, 40996593689031.35, 2.45, 2625.73, 253294
1, pcs, 40935804184345.57, 3.06, 2625.73, 329327
1, pcs, 40801693232828.49, 3.67, 2625.73, 407963
1, pcs, 40914013242999.99, 4.27, 2625.73, 490495
1, pcs, 40773063134563.89, 4.87, 2625.73, 583148
1, pcs, 40645640832978.36, 5.47, 2625.73, 676111
1, pcs, 40704474396586.24, 6.07, 2625.73, 767955
1, pcs, 40650788296568.80, 6.67, 2625.73, 859241
1, pcs, 40666056045975.89, 7.27, 2625.73, 964390
1, pcs, 40602775854017.86, 7.87, 2625.73, 1055664
1, pcs, 40650207436526.17, 8.47, 2625.73, 1165847
1, pcs, 40614965458236.78, 9.07, 2625.73, 1263656
1, pcs, 40637191886721.28, 9.67, 2625.73, 1369980
1, pcs, 40595691128068.79, 10.27, 2625.73, 1479740
1, pcs, 40637604229243.73, 10.87, 2625.73, 1583818
1, pcs, 40647693134765.65, 11.47, 2625.73, 1704958
1, pcs, 40679934678400.43, 12.07, 2625.73, 1807585
1, pcs, 40711965906920.54, 12.67, 2625.73, 1913646
1, pcs, 40710149182508.64, 13.27, 2625.73, 2016059
1, pcs, 40707476723597.65, 13.87, 2625.73, 2131662
1, pcs, 40698476747078.83, 14.47, 2625.73, 2239398
1, pcs, 40676558523009.14, 15.07, 2625.73, 2338889
1, pcs, 40686742194980.57, 15.67, 2625.73, 2447154
1, pcs, 40705089428967.08, 16.27, 2625.73, 2551050
1, pcs, 40672958330018.23, 16.87, 2625.73, 2664721
1, pcs, 40685762112750.92, 17.47, 2625.73, 2766154
1, pcs, 40708040080819.57, 18.07, 2625.73, 2877050
1, pcs, 40714695817959.84, 18.67, 2625.73, 2975456
1, pcs, 40719979893374.66, 19.27, 2625.73, 3077705
1, pcs, 40735952126636.94, 19.87, 2625.73, 3178595
1, pcs, 40737845193168.43, 20.47, 2625.73, 3284739
1, pcs, 40747045420832.33, 21.07, 2625.73, 3389728
1, pcs, 40754738134707.83, 21.67, 2625.73, 3488951
1, pcs, 40732858795134.70, 22.27, 2625.73, 3600783
1, pcs, 40744030026278.97, 22.87, 2625.73, 3710827
1, pcs, 40743945084979.54, 23.47, 2625.73, 3817091
1, pcs, 40747250382330.16, 24.07, 2625.73, 3917805
1, pcs, 40728983525921.05, 24.67, 2625.73, 4020338
1, pcs, 40738787404594.99, 25.27, 2625.73, 4129205
1, pcs, 40735425088456.43, 25.87, 2625.73, 4232269
1, pcs, 40736022143766.43, 26.47, 2625.73, 4339109
1, pcs, 40742886203948.38, 27.07, 2625.73, 4445262
1, pcs, 40735221967345.38, 27.67, 2625.73, 4549916
1, pcs, 40738122809933.09, 28.27, 2625.73, 4656762
1, pcs, 40740163307296.79, 28.87, 2625.73, 4760451
1, pcs, 40728383943083.44, 29.47, 2625.73, 4866884
1, pcs, 40729869473504.49, 30.07, 2625.73, 4977327
1, pcs, 40737935828032.62, 30.67, 2625.73, 5082965
1, pcs, 40737987120697.27, 31.27, 2625.73, 5183595
1, pcs, 40733238215794.74, 31.87, 2625.73, 5298122
1, pcs, 40728673675866.83, 32.48, 2625.73, 5403273
1, pcs, 40735241413122.92, 33.09, 2625.73, 5510058
1, pcs, 40734310288792.92, 33.70, 2625.73, 5603240
1, pcs, 40728473948424.45, 34.31, 2625.73, 5694250
1, pcs, 40739597731879.91, 34.92, 2625.73, 5787126
1, pcs, 40746457332916.14, 35.53, 2625.73, 5869015
1, pcs, 40743910424930.95, 36.14, 2625.73, 5952055
1, pcs, 40746353502993.89, 36.75, 2625.73, 6033673
1, pcs, 40739022753557.01, 37.36, 2625.73, 6133576
1, pcs, 40736085213075.76, 37.97, 2625.73, 6225908
1, pcs, 40744226246824.26, 38.58, 2625.73, 6319836
1, pcs, 40742166272375.78, 39.19, 2625.73, 6421641
1, pcs, 40757817127935.43, 39.80, 2625.73, 6522574
1, pcs, 40759583691908.16, 40.41, 2625.73, 6624241
1, pcs, 40747781393451.61, 41.02, 2625.73, 6733646
1, pcs, 40756002474328.95, 41.63, 2625.73, 6836111
1, pcs, 40762146826626.00, 42.24, 2625.73, 6944979
1, pcs, 40769846827978.23, 42.85, 2625.73, 7057800
1, pcs, 40765992225286.88, 43.46, 2625.73, 7171830
1, pcs, 40772598747381.66, 44.07, 2625.73, 7278567
1, pcs, 40772142872638.64, 44.68, 2625.73, 7387788
1, pcs, 40774752436655.98, 45.29, 2625.73, 7493901
1, pcs, 40775099347503.44, 45.90, 2625.73, 7604901
1, pcs, 40766016235582.29, 46.51, 2625.73, 7718699
1, pcs, 40765056579395.63, 47.12, 2625.73, 7833710
1, pcs, 40764082377123.36, 47.73, 2625.73, 7948495
1, pcs, 40765766315225.34, 48.34, 2625.73, 8068118
1, pcs, 40774790257323.77, 48.95, 2625.73, 8178285
1, pcs, 40772544445007.02, 49.56, 2625.73, 8298823
1, pcs, 40771345793843.85, 50.17, 2625.73, 8418836
1, pcs, 40775369344682.87, 50.78, 2625.73, 8538748
1, pcs, 40770676260169.86, 51.39, 2625.73, 8650592
1, pcs, 40762021822163.32, 52.00, 2625.73, 8769043
1, pcs, 40768745310341.94, 52.61, 2625.73, 8893639
1, pcs, 40772494290378.26, 53.22, 2625.73, 9009835
1, pcs, 40772470814616.29, 53.83, 2625.73, 9118774
1, pcs, 40778351094830.44, 54.44, 2625.73, 9238232
1, pcs, 40776493178451.30, 55.05, 2625.73, 9359607
1, pcs, 40778468360257.14, 55.66, 2625.73, 9484795
1, pcs, 40777380105860.33, 56.27, 2625.73, 9594203
