exp_rep, bfly, algo, time, preprocess_time, iterations
1, fces, 1992038615907.27, 0.01, 237.90, 2
1, fces, 2391873643485.16, 0.62, 237.90, 445
1, fces, 2255607653391.25, 1.23, 237.90, 1090
1, fces, 2154037066014.54, 1.84, 237.90, 1782
1, fces, 2206518394090.47, 2.45, 237.90, 2488
1, fces, 2202368824005.73, 3.06, 237.90, 3196
1, fces, 2235848931657.97, 3.67, 237.90, 3896
1, fces, 2162562656377.50, 4.27, 237.90, 4616
1, fces, 2128833538094.25, 4.87, 237.90, 5331
1, fces, 2145187021665.21, 5.47, 237.90, 6031
1, fces, 2162072641955.19, 6.07, 237.90, 6730
1, fces, 2148083673465.25, 6.67, 237.90, 7442
1, fces, 2134516214073.93, 7.27, 237.90, 8135
1, fces, 2113400974170.15, 7.87, 237.90, 8880
1, fces, 2106354774365.64, 8.47, 237.90, 9589
1, fces, 2101648497333.01, 9.07, 237.90, 10296
1, fces, 2090692040207.98, 9.67, 237.90, 10978
1, fces, 2079350995308.28, 10.27, 237.90, 11710
1, fces, 2064362631068.91, 10.87, 237.90, 12454
1, fces, 2055976914928.62, 11.47, 237.90, 13192
1, fces, 2054961874648.64, 12.07, 237.90, 13924
1, fces, 2037213154264.01, 12.67, 237.90, 14647
1, fces, 2021128083744.70, 13.27, 237.90, 15408
1, fces, 2019966927864.48, 13.87, 237.90, 16114
1, fces, 2013102747709.90, 14.47, 237.90, 16811
1, fces, 2017045993799.34, 15.07, 237.90, 17523
1, fces, 2015749485524.14, 15.67, 237.90, 18231
1, fces, 2014107372225.65, 16.27, 237.90, 18951
1, fces, 2008023410643.73, 16.87, 237.90, 19700
1, fces, 2007206720640.25, 17.47, 237.90, 20442
1, fces, 2007403932771.67, 18.07, 237.90, 21194
1, fces, 2015978259541.80, 18.67, 237.90, 21973
1, fces, 2024536196571.86, 19.27, 237.90, 22734
1, fces, 2027890312526.79, 19.87, 237.90, 23488
1, fces, 2027798941322.20, 20.47, 237.90, 24297
1, fces, 2022938567376.37, 21.07, 237.90, 25069
1, fces, 2020599145173.69, 21.67, 237.90, 25848
1, fces, 2027952880779.38, 22.27, 237.90, 26599
1, fces, 2030773248264.71, 22.87, 237.90, 27374
1, fces, 2022375326323.97, 23.47, 237.90, 28183
1, fces, 2026434343785.50, 24.07, 237.90, 28896
1, fces, 2024978841273.68, 24.67, 237.90, 29657
1, fces, 2018891478594.13, 25.27, 237.90, 30406
1, fces, 2018866616811.31, 25.87, 237.90, 31119
1, fces, 2028100323131.26, 26.47, 237.90, 31857
1, fces, 2025380840521.12, 27.07, 237.90, 32606
1, fces, 2023370066784.37, 27.67, 237.90, 33375
1, fces, 2022678317358.20, 28.27, 237.90, 34155
1, fces, 2020380827002.24, 28.87, 237.90, 34939
1, fces, 2018167129544.83, 29.47, 237.90, 35719
1, fces, 2009231953391.79, 30.07, 237.90, 36505
1, fces, 2007598804665.23, 30.67, 237.90, 37262
1, fces, 2007416282109.98, 31.27, 237.90, 38048
1, fces, 2011053148275.68, 31.87, 237.90, 38819
1, fces, 2007063978322.23, 32.48, 237.90, 39631
1, fces, 2006255241908.60, 33.09, 237.90, 40451
1, fces, 2006437260576.07, 33.70, 237.90, 41246
1, fces, 2011697950396.28, 34.31, 237.90, 42019
1, fces, 2012668131763.81, 34.92, 237.90, 42814
1, fces, 2018078871733.34, 35.53, 237.90, 43590
1, fces, 2022334169285.33, 36.14, 237.90, 44380
1, fces, 2026697693265.71, 36.75, 237.90, 45148
1, fces, 2026182101129.47, 37.36, 237.90, 45936
1, fces, 2028809076652.24, 37.97, 237.90, 46680
1, fces, 2034465741486.57, 38.58, 237.90, 47447
1, fces, 2029655322582.03, 39.19, 237.90, 48218
1, fces, 2028241130270.56, 39.80, 237.90, 49014
1, fces, 2025174473534.05, 40.41, 237.90, 49786
1, fces, 2020834809309.07, 41.02, 237.90, 50555
1, fces, 2021178807125.77, 41.63, 237.90, 51302
1, fces, 2017110410840.00, 42.24, 237.90, 52082
1, fces, 2021314434948.61, 42.85, 237.90, 52854
1, fces, 2020547862116.42, 43.46, 237.90, 53658
1, fces, 2017989203148.03, 44.07, 237.90, 54464
1, fces, 2021266255589.95, 44.68, 237.90, 55250
1, fces, 2021959931755.17, 45.29, 237.90, 56055
1, fces, 2025084205674.88, 45.90, 237.90, 56860
1, fces, 2021107921228.67, 46.51, 237.90, 57696
1, fces, 2021041214088.55, 47.12, 237.90, 58484
1, fces, 2022850688050.04, 47.73, 237.90, 59293
1, fces, 2025846189439.71, 48.34, 237.90, 60047
1, fces, 2023040232045.97, 48.95, 237.90, 60857
1, fces, 2024154125048.42, 49.56, 237.90, 61668
1, fces, 2025899165692.75, 50.17, 237.90, 62454
1, fces, 2025496462455.04, 50.78, 237.90, 63268
1, fces, 2025447232343.22, 51.39, 237.90, 64070
1, fces, 2023440730243.33, 52.00, 237.90, 64883
1, fces, 2022898759663.86, 52.61, 237.90, 65686
1, fces, 2022619016429.83, 53.22, 237.90, 66484
1, fces, 2023217213696.80, 53.83, 237.90, 67237
1, fces, 2023923323355.11, 54.44, 237.90, 67996
