exp_rep, bfly, algo, time, iterations
1, fes, 7943065086.39, 0.01, 1
1, fes, 1945774975882.38, 0.62, 279
1, fes, 2037388219498.99, 1.23, 621
1, fes, 2068843083536.16, 1.84, 1043
1, fes, 2082447047621.09, 2.45, 1556
1, fes, 2017563377061.76, 3.06, 2147
1, fes, 2011584400871.90, 3.67, 2823
1, fes, 2008766071082.80, 4.27, 3584
1, fes, 2022407502836.48, 4.87, 4375
1, fes, 2028847405861.30, 5.47, 5194
1, fes, 2007377786638.79, 6.07, 6031
1, fes, 1976982415361.72, 6.67, 6888
1, fes, 1966754047374.75, 7.27, 7763
1, fes, 1954275912139.47, 7.87, 8643
1, fes, 1977738395070.61, 8.47, 9515
1, fes, 1958755246344.29, 9.07, 10426
1, fes, 1973339209115.42, 9.67, 11305
1, fes, 1994009623064.41, 10.27, 12172
1, fes, 2001035098733.88, 10.87, 13087
1, fes, 2004772407751.91, 11.47, 13966
1, fes, 1989379341106.67, 12.07, 14825
1, fes, 1993018634983.44, 12.67, 15668
1, fes, 1999425143182.77, 13.27, 16484
1, fes, 1996602443660.04, 13.87, 17288
1, fes, 1996280778692.89, 14.47, 18085
1, fes, 2001693703516.95, 15.07, 18859
1, fes, 2002069050782.40, 15.67, 19634
1, fes, 1993997119797.85, 16.27, 20429
1, fes, 2012716745413.18, 16.87, 21196
1, fes, 2008971577162.05, 17.47, 21979
1, fes, 2004316973621.36, 18.07, 22771
1, fes, 2008934012897.98, 18.67, 23532
1, fes, 2011463083613.92, 19.27, 24303
1, fes, 2020943973966.68, 19.87, 25070
1, fes, 2023006230256.24, 20.47, 25842
1, fes, 2021424189469.90, 21.07, 26616
1, fes, 2017417955940.62, 21.67, 27385
1, fes, 2013983013492.51, 22.27, 28173
1, fes, 2013533838624.81, 22.87, 28940
1, fes, 2009410907328.90, 23.47, 29696
1, fes, 2015876528800.06, 24.07, 30513
1, fes, 2014513655675.08, 24.67, 31336
1, fes, 2011309949436.09, 25.27, 32188
1, fes, 2004494525315.11, 25.87, 33055
1, fes, 2003348618087.52, 26.47, 33916
1, fes, 2004997701826.73, 27.07, 34764
1, fes, 2009195955001.69, 27.67, 35644
1, fes, 2005929640653.61, 28.27, 36532
1, fes, 2005052112505.87, 28.87, 37437
1, fes, 2002946454664.65, 29.47, 38315
1, fes, 2005120828575.84, 30.07, 39167
1, fes, 2003297637473.73, 30.67, 40001
1, fes, 2005882685696.86, 31.27, 40813
1, fes, 2003460461645.61, 31.87, 41646
1, fes, 1998370500556.61, 32.48, 42560
1, fes, 1995323689931.88, 33.09, 43463
1, fes, 1996212220863.61, 33.70, 44368
1, fes, 1991651938413.96, 34.31, 45264
1, fes, 1989216663939.70, 34.92, 46156
1, fes, 1998646177160.75, 35.53, 47049
1, fes, 2004283099277.40, 36.14, 47939
1, fes, 2002067519949.25, 36.75, 48861
1, fes, 1998865826035.64, 37.36, 49758
1, fes, 1996020258755.79, 37.97, 50659
1, fes, 1995903737543.39, 38.58, 51538
1, fes, 2001572983200.41, 39.19, 52415
1, fes, 2002545905739.91, 39.80, 53305
1, fes, 2001640353669.93, 40.41, 54154
1, fes, 2006029464570.94, 41.02, 55008
1, fes, 2004991606144.92, 41.63, 55845
1, fes, 2001097446015.19, 42.24, 56697
1, fes, 2001057701341.91, 42.85, 57510
1, fes, 2001288070867.45, 43.46, 58356
1, fes, 2006614447111.37, 44.07, 59206
1, fes, 2005192129862.19, 44.68, 60041
1, fes, 2007154268632.30, 45.29, 60837
1, fes, 2005785607435.07, 45.90, 61652
1, fes, 2002507874293.11, 46.51, 62499
1, fes, 2001127457146.25, 47.12, 63325
1, fes, 2000536372293.94, 47.73, 64192
1, fes, 1996776716972.84, 48.34, 65026
1, fes, 1993067466018.47, 48.95, 65871
1, fes, 1991296653962.67, 49.56, 66692
1, fes, 1991624133803.80, 50.17, 67514
1, fes, 1996969125180.77, 50.78, 68307
1, fes, 1999422197021.52, 51.39, 69109
1, fes, 2003595810120.49, 52.00, 69904
1, fes, 2003347764755.74, 52.61, 70744
1, fes, 2006483323004.60, 53.22, 71581
1, fes, 2008342940848.59, 53.83, 72406
1, fes, 2009942328530.90, 54.44, 73256
1, fes, 2012551065551.97, 55.05, 74099
1, fes, 2013379813784.66, 55.66, 74977
1, fes, 2013422266534.77, 56.27, 75861
1, fes, 2010402340904.77, 56.88, 76747
1, fes, 2012569065064.56, 57.49, 77613
1, fes, 2015877853063.72, 58.10, 78474
1, fes, 2015540270081.35, 58.71, 79364
1, fes, 2015891076480.14, 59.32, 80253
1, fes, 2014551525423.58, 59.93, 81137
2, fes, 2111017418396.15, 0.01, 15
2, fes, 1887041648237.58, 0.62, 898
2, fes, 1821143219765.28, 1.23, 1787
2, fes, 1967370760425.29, 1.84, 2687
2, fes, 2034606673574.68, 2.45, 3586
2, fes, 2093639297075.02, 3.06, 4470
2, fes, 2074464906876.68, 3.67, 5344
2, fes, 2045222479272.46, 4.27, 6231
2, fes, 2111978642337.14, 4.87, 7101
2, fes, 2112498843011.88, 5.47, 7974
2, fes, 2128847034199.93, 6.07, 8857
2, fes, 2133134681968.04, 6.67, 9718
2, fes, 2116990086600.45, 7.27, 10610
2, fes, 2139844835915.87, 7.87, 11498
2, fes, 2137212131845.94, 8.47, 12387
2, fes, 2150005078550.87, 9.07, 13265
2, fes, 2168892879390.29, 9.67, 14134
2, fes, 2160538139948.03, 10.27, 15030
2, fes, 2154572876151.04, 10.87, 15913
2, fes, 2155917060850.73, 11.47, 16817
2, fes, 2137468736265.03, 12.07, 17688
2, fes, 2136835170113.60, 12.67, 18539
2, fes, 2111218349142.14, 13.27, 19388
2, fes, 2096831784544.66, 13.87, 20216
2, fes, 2093319267511.49, 14.47, 21025
2, fes, 2091276476001.05, 15.07, 21822
2, fes, 2081883662857.23, 15.67, 22619
2, fes, 2089201006606.92, 16.27, 23407
2, fes, 2085832435469.58, 16.87, 24187
2, fes, 2089298045199.06, 17.47, 24940
2, fes, 2092190910089.86, 18.07, 25722
2, fes, 2093199694902.74, 18.67, 26498
2, fes, 2093295911833.88, 19.27, 27285
2, fes, 2091756861920.70, 19.87, 28068
2, fes, 2085290006577.52, 20.47, 28834
2, fes, 2085444583410.24, 21.07, 29614
2, fes, 2081612042587.33, 21.67, 30421
2, fes, 2086625948500.68, 22.27, 31187
2, fes, 2082938142979.87, 22.87, 31991
2, fes, 2073961166276.86, 23.47, 32764
2, fes, 2071141471900.29, 24.07, 33547
2, fes, 2064150720707.48, 24.67, 34326
2, fes, 2062102488604.08, 25.27, 35151
2, fes, 2062673258652.80, 25.87, 35995
2, fes, 2057418118724.23, 26.47, 36846
2, fes, 2053697080866.43, 27.07, 37715
2, fes, 2045081671085.83, 27.67, 38596
2, fes, 2040401272916.37, 28.27, 39482
2, fes, 2038933004183.16, 28.87, 40391
2, fes, 2041226744990.19, 29.47, 41312
2, fes, 2042521111258.45, 30.07, 42197
2, fes, 2048737735820.61, 30.67, 43027
2, fes, 2048761790016.15, 31.27, 43886
2, fes, 2055708673854.73, 31.87, 44735
2, fes, 2063011046119.59, 32.48, 45643
2, fes, 2062209905187.42, 33.09, 46530
2, fes, 2057337818780.37, 33.70, 47430
2, fes, 2057733357019.71, 34.31, 48317
2, fes, 2054842386214.51, 34.92, 49218
2, fes, 2053213813717.39, 35.53, 50110
2, fes, 2058469527702.04, 36.14, 51008
2, fes, 2061724407190.14, 36.75, 51924
2, fes, 2061164192735.36, 37.36, 52814
