exp_rep, bfly, algo, time, preprocess_time, iterations
1, pcs, 2087801173126.49, 0.01, 302.02, 487
1, pcs, 2029515356784.36, 0.62, 302.02, 69703
1, pcs, 2031569045034.12, 1.23, 302.02, 169768
1, pcs, 2022740995844.66, 1.84, 302.02, 289303
1, pcs, 2024018492289.70, 2.45, 302.02, 404485
1, pcs, 2025889706258.53, 3.06, 302.02, 524801
1, pcs, 2027604271206.95, 3.67, 302.02, 642355
1, pcs, 2029280839799.84, 4.27, 302.02, 776203
1, pcs, 2028520423120.06, 4.87, 302.02, 904318
1, pcs, 2029392531134.27, 5.47, 302.02, 1028933
1, pcs, 2030271617060.81, 6.07, 302.02, 1152297
1, pcs, 2030713729445.93, 6.67, 302.02, 1292671
1, pcs, 2030456364548.54, 7.27, 302.02, 1420481
1, pcs, 2029882522991.07, 7.87, 302.02, 1550486
1, pcs, 2030826017482.61, 8.47, 302.02, 1687583
1, pcs, 2031899052774.49, 9.07, 302.02, 1824624
1, pcs, 2031956904325.26, 9.67, 302.02, 1953128
1, pcs, 2032336815171.94, 10.27, 302.02, 2084968
1, pcs, 2032837789096.49, 10.87, 302.02, 2210832
1, pcs, 2032780021269.88, 11.47, 302.02, 2342051
1, pcs, 2033723865740.81, 12.07, 302.02, 2475411
1, pcs, 2034498439474.72, 12.67, 302.02, 2610334
1, pcs, 2034292134933.16, 13.27, 302.02, 2742999
1, pcs, 2033697134474.61, 13.87, 302.02, 2891305
1, pcs, 2033611914017.68, 14.47, 302.02, 3020213
1, pcs, 2033733242728.32, 15.07, 302.02, 3166741
1, pcs, 2033801429976.83, 15.67, 302.02, 3296028
1, pcs, 2033989962596.45, 16.27, 302.02, 3426725
1, pcs, 2033840025287.86, 16.87, 302.02, 3559506
1, pcs, 2033878527333.32, 17.47, 302.02, 3696342
1, pcs, 2034172892106.31, 18.07, 302.02, 3835522
1, pcs, 2034728873057.19, 18.67, 302.02, 3980466
1, pcs, 2034913986075.33, 19.27, 302.02, 4120261
1, pcs, 2034974666333.54, 19.87, 302.02, 4266507
1, pcs, 2034622599234.65, 20.47, 302.02, 4418114
1, pcs, 2034706685820.00, 21.07, 302.02, 4554641
1, pcs, 2034736562539.78, 21.67, 302.02, 4692097
1, pcs, 2034926384772.83, 22.27, 302.02, 4826155
1, pcs, 2034630148083.45, 22.87, 302.02, 4960745
1, pcs, 2034394225577.80, 23.47, 302.02, 5094434
1, pcs, 2034685725179.76, 24.07, 302.02, 5235192
1, pcs, 2034540521585.01, 24.67, 302.02, 5399115
1, pcs, 2034448645189.03, 25.27, 302.02, 5549573
1, pcs, 2034241274971.17, 25.87, 302.02, 5696294
1, pcs, 2034484629140.13, 26.47, 302.02, 5840672
1, pcs, 2034804965765.30, 27.07, 302.02, 5982764
1, pcs, 2035116123950.97, 27.67, 302.02, 6116763
1, pcs, 2035110015152.36, 28.27, 302.02, 6253878
1, pcs, 2035154267012.58, 28.87, 302.02, 6383792
1, pcs, 2035148615753.11, 29.47, 302.02, 6525765
1, pcs, 2034996497866.22, 30.07, 302.02, 6660047
1, pcs, 2034921672677.66, 30.67, 302.02, 6797227
1, pcs, 2035058933116.86, 31.27, 302.02, 6948167
1, pcs, 2035454919361.31, 31.87, 302.02, 7091513
1, pcs, 2035602822470.91, 32.48, 302.02, 7250456
1, pcs, 2035640157277.59, 33.09, 302.02, 7386385
1, pcs, 2035373015267.79, 33.70, 302.02, 7517844
1, pcs, 2035209474785.24, 34.31, 302.02, 7659985
1, pcs, 2035165863672.25, 34.92, 302.02, 7766346
1, pcs, 2035155425966.39, 35.53, 302.02, 7881599
1, pcs, 2035041370811.40, 36.14, 302.02, 8009751
1, pcs, 2034975582740.21, 36.75, 302.02, 8167693
1, pcs, 2034988221522.10, 37.36, 302.02, 8312955
1, pcs, 2034953093381.03, 37.97, 302.02, 8461622
1, pcs, 2035032386424.11, 38.58, 302.02, 8613715
1, pcs, 2035190763194.66, 39.19, 302.02, 8746928
1, pcs, 2035084433635.05, 39.80, 302.02, 8886541
1, pcs, 2035256409801.96, 40.41, 302.02, 9030709
1, pcs, 2035220984804.22, 41.02, 302.02, 9169602
1, pcs, 2035256116494.57, 41.63, 302.02, 9312154
1, pcs, 2035348114139.61, 42.24, 302.02, 9461194
1, pcs, 2035385190286.11, 42.85, 302.02, 9599789
1, pcs, 2035609225738.97, 43.46, 302.02, 9745197
1, pcs, 2035644580352.72, 44.07, 302.02, 9878178
1, pcs, 2035902995447.22, 44.68, 302.02, 10018449
1, pcs, 2035828814162.90, 45.29, 302.02, 10155951
1, pcs, 2035703596506.41, 45.90, 302.02, 10300730
1, pcs, 2035646373861.00, 46.51, 302.02, 10441721
1, pcs, 2035548497549.32, 47.12, 302.02, 10597660
1, pcs, 2035620810223.08, 47.73, 302.02, 10724757
1, pcs, 2035621078693.56, 48.34, 302.02, 10866185
1, pcs, 2035560798789.38, 48.95, 302.02, 11017444
1, pcs, 2035547379454.10, 49.56, 302.02, 11153897
1, pcs, 2035510827072.33, 50.17, 302.02, 11290674
1, pcs, 2035416363319.98, 50.78, 302.02, 11419427
1, pcs, 2035430933181.01, 51.39, 302.02, 11557140
1, pcs, 2035394435123.88, 52.00, 302.02, 11704077
1, pcs, 2035438932578.50, 52.61, 302.02, 11838513
1, pcs, 2035626656624.80, 53.22, 302.02, 11972173
1, pcs, 2035577951259.52, 53.83, 302.02, 12105085
1, pcs, 2035637440378.03, 54.44, 302.02, 12238250
1, pcs, 2035576805523.28, 55.05, 302.02, 12385180
1, pcs, 2035578630603.82, 55.66, 302.02, 12528987
1, pcs, 2035516104968.92, 56.27, 302.02, 12675268
1, pcs, 2035643070065.17, 56.88, 302.02, 12805505
1, pcs, 2035657808589.29, 57.49, 302.02, 12962313
1, pcs, 2035639725306.26, 58.10, 302.02, 13095536
1, pcs, 2035715763489.74, 58.71, 302.02, 13232336
1, pcs, 2035622166133.04, 59.32, 302.02, 13363533
1, pcs, 2035611521828.18, 59.93, 302.02, 13497935
2, pcs, 2022702989078.68, 0.01, 0.00, 3231
2, pcs, 2032919671580.44, 0.62, 0.00, 148830
2, pcs, 2033721909508.68, 1.23, 0.00, 295477
2, pcs, 2028668611402.42, 1.84, 0.00, 430108
2, pcs, 2029355200591.41, 2.45, 0.00, 564567
2, pcs, 2032856387074.38, 3.06, 0.00, 704940
2, pcs, 2033422694055.94, 3.67, 0.00, 848734
2, pcs, 2033927224937.59, 4.27, 0.00, 979359
2, pcs, 2033825949752.83, 4.87, 0.00, 1123830
2, pcs, 2031586131457.21, 5.47, 0.00, 1276183
2, pcs, 2031842916559.22, 6.07, 0.00, 1426231
2, pcs, 2032401031321.99, 6.67, 0.00, 1582116
2, pcs, 2033119308241.05, 7.27, 0.00, 1709875
2, pcs, 2034296159842.81, 7.87, 0.00, 1861584
2, pcs, 2033410038282.00, 8.47, 0.00, 2004087
2, pcs, 2034323923614.38, 9.07, 0.00, 2145844
2, pcs, 2034901444812.43, 9.67, 0.00, 2279946
2, pcs, 2035122560143.69, 10.27, 0.00, 2414559
2, pcs, 2034898252210.02, 10.87, 0.00, 2547804
2, pcs, 2035176427740.50, 11.47, 0.00, 2690875
2, pcs, 2033955787068.38, 12.07, 0.00, 2835788
2, pcs, 2033793114526.05, 12.67, 0.00, 2981334
2, pcs, 2033730598949.95, 13.27, 0.00, 3130045
2, pcs, 2033831019205.03, 13.87, 0.00, 3285679
2, pcs, 2033993385879.69, 14.47, 0.00, 3423322
2, pcs, 2033986699209.35, 15.07, 0.00, 3583941
2, pcs, 2034245010063.62, 15.67, 0.00, 3724840
2, pcs, 2034600323898.87, 16.27, 0.00, 3875701
2, pcs, 2034973684730.66, 16.87, 0.00, 4020044
2, pcs, 2035673621330.97, 17.47, 0.00, 4163965
2, pcs, 2036142673791.34, 18.07, 0.00, 4317806
2, pcs, 2036014736751.55, 18.67, 0.00, 4465840
2, pcs, 2036030459577.73, 19.27, 0.00, 4601618
2, pcs, 2036480710817.67, 19.87, 0.00, 4741655
2, pcs, 2036556702198.70, 20.47, 0.00, 4883079
2, pcs, 2036193001099.24, 21.07, 0.00, 5034766
2, pcs, 2036100595037.40, 21.67, 0.00, 5157303
2, pcs, 2036315689202.97, 22.27, 0.00, 5277050
2, pcs, 2036161012352.95, 22.87, 0.00, 5397190
2, pcs, 2036268658257.96, 23.47, 0.00, 5525126
2, pcs, 2036130461277.65, 24.07, 0.00, 5664096
2, pcs, 2036278369835.23, 24.67, 0.00, 5802644
2, pcs, 2036228671439.62, 25.27, 0.00, 5941801
