exp_rep, bfly, algo, time, preprocess_time, iterations
1, ps, 2121380636052.87, 0.01, 27.77, 1065
1, ps, 1991209064257.33, 0.62, 27.77, 154957
1, ps, 1981127913277.85, 1.23, 27.77, 305246
1, ps, 1971721879039.40, 1.84, 27.77, 491782
1, ps, 1968926759360.04, 2.45, 27.77, 677932
1, ps, 1955006511527.59, 3.06, 27.77, 855994
1, ps, 1950305418282.28, 3.67, 27.77, 1064642
1, ps, 1954307116863.15, 4.27, 27.77, 1277817
1, ps, 1949778742843.84, 4.87, 27.77, 1485494
1, ps, 1943517639406.47, 5.47, 27.77, 1679872
1, ps, 1940508212864.04, 6.07, 27.77, 1882454
1, ps, 1938486164690.51, 6.67, 27.77, 2083160
1, ps, 1935452995480.00, 7.27, 27.77, 2281921
1, ps, 1934989013684.83, 7.87, 27.77, 2497638
1, ps, 1938721804206.62, 8.47, 27.77, 2733999
1, ps, 1934613853228.15, 9.07, 27.77, 2953292
1, ps, 1936084916341.19, 9.67, 27.77, 3199548
1, ps, 1936062534036.04, 10.27, 27.77, 3413413
1, ps, 1939611871588.57, 10.87, 27.77, 3639795
1, ps, 1940698347141.36, 11.47, 27.77, 3852405
1, ps, 1940422319114.33, 12.07, 27.77, 4113705
1, ps, 1942192037060.78, 12.67, 27.77, 4344270
1, ps, 1942874939063.37, 13.27, 27.77, 4551779
1, ps, 1943731524300.24, 13.87, 27.77, 4786613
1, ps, 1945492693778.53, 14.47, 27.77, 5020122
1, ps, 1946488599411.26, 15.07, 27.77, 5238361
1, ps, 1946925345428.38, 15.67, 27.77, 5486181
1, ps, 1949007035457.13, 16.27, 27.77, 5715637
1, ps, 1948336297049.82, 16.87, 27.77, 5938258
1, ps, 1948544286733.09, 17.47, 27.77, 6157757
1, ps, 1946893698885.92, 18.07, 27.77, 6404793
1, ps, 1947078223635.00, 18.67, 27.77, 6603267
1, ps, 1947105322006.35, 19.27, 27.77, 6817227
1, ps, 1947099494962.19, 19.87, 27.77, 7047434
1, ps, 1947120798531.42, 20.47, 27.77, 7296327
1, ps, 1945984648199.33, 21.07, 27.77, 7525211
1, ps, 1946100401488.84, 21.67, 27.77, 7751309
1, ps, 1944651375942.37, 22.27, 27.77, 7977437
1, ps, 1943160950756.77, 22.87, 27.77, 8210887
1, ps, 1943494539716.26, 23.47, 27.77, 8424979
1, ps, 1942413859690.23, 24.07, 27.77, 8639195
1, ps, 1941656573043.41, 24.67, 27.77, 8866027
1, ps, 1941072536096.36, 25.27, 27.77, 9103642
1, ps, 1940989560845.85, 25.87, 27.77, 9339044
1, ps, 1941556470324.51, 26.47, 27.77, 9567715
1, ps, 1942612818661.55, 27.07, 27.77, 9781822
1, ps, 1942895521435.44, 27.67, 27.77, 10014295
1, ps, 1944069613255.26, 28.27, 27.77, 10244271
1, ps, 1943430551600.98, 28.87, 27.77, 10447205
1, ps, 1944104242636.25, 29.47, 27.77, 10671027
1, ps, 1944584079731.05, 30.07, 27.77, 10916029
1, ps, 1943907602121.45, 30.67, 27.77, 11128642
1, ps, 1944038791006.78, 31.27, 27.77, 11391257
1, ps, 1944148763909.01, 31.87, 27.77, 11639742
1, ps, 1944377673708.13, 32.48, 27.77, 11872477
1, ps, 1943667785407.53, 33.09, 27.77, 12097443
1, ps, 1943679632025.96, 33.70, 27.77, 12349437
1, ps, 1943686195021.68, 34.31, 27.77, 12585964
1, ps, 1944668105140.31, 34.92, 27.77, 12815837
1, ps, 1944384371329.08, 35.53, 27.77, 13088164
1, ps, 1944195694750.01, 36.14, 27.77, 13322178
1, ps, 1944105375551.38, 36.75, 27.77, 13563299
1, ps, 1943251592762.06, 37.36, 27.77, 13782738
1, ps, 1942448941502.26, 37.97, 27.77, 14007983
1, ps, 1941860930528.83, 38.58, 27.77, 14249182
1, ps, 1941840723408.75, 39.19, 27.77, 14458810
1, ps, 1941465733368.78, 39.80, 27.77, 14668463
1, ps, 1941974884821.16, 40.41, 27.77, 14897184
1, ps, 1941970064650.81, 41.02, 27.77, 15125301
1, ps, 1942890925135.31, 41.63, 27.77, 15327997
1, ps, 1941946453322.55, 42.24, 27.77, 15559712
1, ps, 1942039440852.33, 42.85, 27.77, 15783715
1, ps, 1942065397731.87, 43.46, 27.77, 15984650
1, ps, 1942522341467.79, 44.07, 27.77, 16219428
1, ps, 1942733638347.93, 44.68, 27.77, 16446928
1, ps, 1942777910204.85, 45.29, 27.77, 16660362
1, ps, 1942968310404.41, 45.90, 27.77, 16870247
1, ps, 1942830105560.83, 46.51, 27.77, 17083755
1, ps, 1943148954621.26, 47.12, 27.77, 17279937
1, ps, 1942948729265.79, 47.73, 27.77, 17484821
1, ps, 1942550828133.85, 48.34, 27.77, 17701184
1, ps, 1942807507913.47, 48.95, 27.77, 17911488
1, ps, 1943443875384.13, 49.56, 27.77, 18144048
1, ps, 1943934861774.56, 50.17, 27.77, 18370248
