exp_rep, bfly, algo, time, preprocess_time, iterations
1, fces, 53286021036355.10, 0.01, 640.20, 1
1, fces, 120265145709234.25, 0.62, 640.20, 161
1, fces, 111658818673711.10, 1.23, 640.20, 347
1, fces, 106914102863485.84, 1.84, 640.20, 557
1, fces, 99910863491880.56, 2.45, 640.20, 799
1, fces, 101341049122917.91, 3.06, 640.20, 1061
1, fces, 100466914913084.32, 3.67, 640.20, 1341
1, fces, 100386381385532.39, 4.27, 640.20, 1642
1, fces, 100171334364602.35, 4.87, 640.20, 1954
1, fces, 100269078520183.31, 5.47, 640.20, 2269
1, fces, 99024972263662.42, 6.07, 640.20, 2601
1, fces, 98068614091847.37, 6.67, 640.20, 2940
1, fces, 98430056173151.40, 7.27, 640.20, 3285
1, fces, 99433166644316.24, 7.87, 640.20, 3637
1, fces, 99388526067704.15, 8.47, 640.20, 3989
1, fces, 98921416660914.54, 9.07, 640.20, 4345
1, fces, 98911714367077.03, 9.67, 640.20, 4711
1, fces, 99223282832906.38, 10.27, 640.20, 5074
1, fces, 99481764957353.90, 10.87, 640.20, 5445
1, fces, 99138380455517.47, 11.47, 640.20, 5818
1, fces, 99674734634680.25, 12.07, 640.20, 6186
1, fces, 99783711855828.74, 12.67, 640.20, 6556
1, fces, 99822300715199.09, 13.27, 640.20, 6936
1, fces, 99864401509711.21, 13.87, 640.20, 7311
1, fces, 99804246902966.08, 14.47, 640.20, 7691
1, fces, 99676224748280.58, 15.07, 640.20, 8065
1, fces, 99628005037109.06, 15.67, 640.20, 8446
1, fces, 99579668095829.72, 16.27, 640.20, 8828
1, fces, 99594867257021.58, 16.87, 640.20, 9216
1, fces, 99715390899016.20, 17.47, 640.20, 9601
1, fces, 100043184084809.43, 18.07, 640.20, 9984
1, fces, 100431363098267.93, 18.67, 640.20, 10365
1, fces, 100459967163226.62, 19.27, 640.20, 10749
1, fces, 100778322882606.85, 19.87, 640.20, 11139
1, fces, 100958713983576.44, 20.47, 640.20, 11514
1, fces, 101260917150886.25, 21.07, 640.20, 11896
1, fces, 101049502596102.06, 21.67, 640.20, 12282
1, fces, 101198571298020.08, 22.27, 640.20, 12688
1, fces, 101374325680031.24, 22.87, 640.20, 13099
1, fces, 101285966153014.85, 23.47, 640.20, 13512
1, fces, 101196972259526.26, 24.07, 640.20, 13932
1, fces, 101231427334469.89, 24.67, 640.20, 14352
1, fces, 101221175424533.11, 25.27, 640.20, 14769
1, fces, 101233245348830.93, 25.87, 640.20, 15190
1, fces, 101209718786777.11, 26.47, 640.20, 15616
1, fces, 100928317467910.42, 27.07, 640.20, 16054
