exp_rep, bfly, algo, time, iterations
1, fes, 13295883001748.00, 0.01, 1
1, fes, 106273421633953.80, 0.62, 133
1, fes, 110624895548519.62, 1.23, 288
1, fes, 106195798680355.26, 1.84, 474
1, fes, 102448316319151.01, 2.45, 696
1, fes, 101740958745582.88, 3.06, 954
1, fes, 98048798718132.97, 3.67, 1257
1, fes, 96103496068613.21, 4.27, 1581
1, fes, 97422556081036.70, 4.87, 1920
1, fes, 99758457427763.53, 5.47, 2265
1, fes, 100379381231111.10, 6.07, 2618
1, fes, 98378213942063.91, 6.68, 2986
1, fes, 99409698409865.57, 7.28, 3355
1, fes, 102558994014657.25, 7.88, 3731
1, fes, 102704498977587.89, 8.48, 4108
1, fes, 104516626072548.81, 9.08, 4486
1, fes, 105237575243582.53, 9.68, 4872
1, fes, 104700294900286.92, 10.28, 5263
1, fes, 103759110639810.16, 10.88, 5656
1, fes, 104409757510442.85, 11.48, 6056
1, fes, 104007771551329.63, 12.08, 6462
1, fes, 103452013454975.43, 12.68, 6883
1, fes, 103610805041011.48, 13.28, 7315
1, fes, 104114532492233.65, 13.88, 7754
1, fes, 103869769779499.10, 14.48, 8198
1, fes, 103499464877305.54, 15.08, 8660
1, fes, 103600694107807.04, 15.68, 9129
1, fes, 103382317620654.67, 16.28, 9583
1, fes, 103517739734580.93, 16.88, 10042
1, fes, 103945280122899.18, 17.48, 10501
1, fes, 103378213686381.98, 18.08, 10971
1, fes, 102641615711895.30, 18.68, 11419
1, fes, 102441433299628.60, 19.28, 11863
1, fes, 102371905938891.98, 19.88, 12298
1, fes, 102211348203311.62, 20.48, 12728
1, fes, 102230498199685.19, 21.08, 13150
1, fes, 102229347432985.79, 21.68, 13572
1, fes, 101921388914456.94, 22.28, 13981
1, fes, 101915287731184.76, 22.88, 14346
1, fes, 101611093514453.63, 23.48, 14696
1, fes, 101821061553422.81, 24.08, 15027
1, fes, 102212801227183.85, 24.68, 15347
1, fes, 102182288213199.67, 25.28, 15650
1, fes, 102163684053030.09, 25.88, 15941
1, fes, 102208967688286.59, 26.48, 16223
1, fes, 102232548940683.81, 27.08, 16498
1, fes, 101990604498496.37, 27.68, 16789
1, fes, 102003875475800.06, 28.28, 17179
1, fes, 101745780786407.39, 28.88, 17576
1, fes, 101560220480278.11, 29.48, 17977
1, fes, 101857226130651.84, 30.08, 18378
1, fes, 101860050500021.02, 30.68, 18785
1, fes, 102043062979618.46, 31.28, 19190
1, fes, 102128388256693.53, 31.88, 19590
1, fes, 102365504227000.25, 32.49, 19998
1, fes, 102491520533572.97, 33.10, 20409
1, fes, 102396789158298.65, 33.71, 20823
1, fes, 102432043099646.58, 34.32, 21229
1, fes, 102437322020952.58, 34.93, 21640
1, fes, 102480979452695.08, 35.54, 22053
1, fes, 102566978216300.74, 36.15, 22466
1, fes, 102807090029389.67, 36.76, 22889
1, fes, 102728267134928.11, 37.37, 23331
1, fes, 102760838155782.77, 37.98, 23785
1, fes, 102734008696385.21, 38.59, 24233
1, fes, 102246495417408.24, 39.20, 24690
1, fes, 102071733150567.04, 39.81, 25155
1, fes, 101848695638438.01, 40.42, 25622
1, fes, 101851519764434.99, 41.03, 26099
1, fes, 102034458387145.43, 41.64, 26571
1, fes, 101969081696601.66, 42.25, 27040
1, fes, 101886784864537.26, 42.86, 27517
1, fes, 102082921311008.86, 43.47, 27997
1, fes, 101983069918045.54, 44.08, 28468
1, fes, 101958028933018.26, 44.69, 28934
1, fes, 101919217339128.46, 45.30, 29394
1, fes, 101611962926005.65, 45.91, 29846
1, fes, 101723756779954.39, 46.52, 30285
1, fes, 101866677290817.21, 47.13, 30728
1, fes, 101741151737009.00, 47.74, 31166
1, fes, 101596596437880.70, 48.35, 31601
1, fes, 101597673385908.81, 48.96, 32035
1, fes, 101426350127151.75, 49.57, 32465
1, fes, 101416055224214.02, 50.18, 32893
1, fes, 101365817165491.29, 50.79, 33321
1, fes, 101316426156709.26, 51.40, 33742
1, fes, 101305178321267.71, 52.01, 34168
1, fes, 101458897176236.81, 52.62, 34590
1, fes, 101542070083567.02, 53.23, 35008
1, fes, 101523818595273.69, 53.84, 35432
1, fes, 101582983760803.46, 54.45, 35850
1, fes, 101601041106649.07, 55.06, 36269
1, fes, 101709606010306.81, 55.67, 36697
1, fes, 101830770077749.12, 56.28, 37116
1, fes, 101882318494813.97, 56.89, 37535
1, fes, 101868536621377.71, 57.50, 37953
1, fes, 101925728493141.44, 58.11, 38377
1, fes, 101804893289692.32, 58.72, 38795
1, fes, 101624197434232.62, 59.33, 39218
1, fes, 101743490923081.57, 59.94, 39644
2, fes, 42982054954540.90, 0.01, 4
2, fes, 88759664289419.33, 0.62, 214
2, fes, 91479450085194.94, 1.23, 466
2, fes, 93831163248341.40, 1.84, 760
2, fes, 97468474654072.70, 2.45, 1098
2, fes, 98874177200734.07, 3.06, 1464
2, fes, 97014592127669.23, 3.67, 1855
2, fes, 96608672214153.09, 4.27, 2241
2, fes, 99055315008322.08, 4.87, 2644
2, fes, 99263767181174.50, 5.47, 3043
2, fes, 98612409663098.30, 6.07, 3452
2, fes, 98711173349182.60, 6.67, 3881
2, fes, 99052594730876.85, 7.27, 4294
2, fes, 100666750852012.28, 7.87, 4710
2, fes, 101569782477845.03, 8.47, 5132
2, fes, 101575046223918.98, 9.07, 5556
2, fes, 101669367797265.77, 9.67, 5968
2, fes, 101784578574338.65, 10.27, 6388
2, fes, 100897192968645.58, 10.87, 6800
2, fes, 100899204746693.72, 11.47, 7216
2, fes, 101529640749592.40, 12.07, 7626
2, fes, 102000478033516.04, 12.67, 8037
2, fes, 102155141788822.09, 13.27, 8447
2, fes, 102268487769197.90, 13.87, 8853
2, fes, 102461641113904.19, 14.47, 9248
2, fes, 102596397249403.57, 15.07, 9639
2, fes, 102450024909976.25, 15.67, 10033
2, fes, 102554518120927.22, 16.27, 10419
2, fes, 102507003286086.70, 16.87, 10814
2, fes, 102658898819364.64, 17.47, 11201
2, fes, 102333585852385.52, 18.07, 11594
2, fes, 102215315818725.28, 18.67, 11998
2, fes, 102913992856103.54, 19.27, 12398
2, fes, 103271501702641.35, 19.87, 12796
2, fes, 103182242106606.72, 20.47, 13198
2, fes, 102827830601367.40, 21.07, 13602
2, fes, 102633406316600.81, 21.67, 14024
2, fes, 102444970337444.09, 22.27, 14447
2, fes, 102303152484513.55, 22.87, 14888
2, fes, 102359299391751.32, 23.47, 15334
2, fes, 101960906386947.62, 24.07, 15792
2, fes, 101656160744755.83, 24.67, 16243
2, fes, 101709477225288.17, 25.27, 16702
2, fes, 101630020875933.08, 25.87, 17169
2, fes, 101562666781128.17, 26.47, 17637
2, fes, 101713854704639.71, 27.07, 18107
2, fes, 101647009192573.70, 27.67, 18578
2, fes, 101725751200207.76, 28.27, 19047
2, fes, 101617541367314.99, 28.87, 19506
2, fes, 101798815841480.20, 29.47, 19956
2, fes, 101846242204164.20, 30.07, 20399
2, fes, 101712167708393.55, 30.67, 20838
2, fes, 102069524604407.55, 31.27, 21273
2, fes, 101993118409310.99, 31.87, 21702
2, fes, 101852622312765.49, 32.48, 22135
2, fes, 101833218114278.20, 33.09, 22563
2, fes, 102233846102742.50, 33.70, 22995
2, fes, 102348282321098.01, 34.31, 23422
2, fes, 102266009197823.94, 34.92, 23855
2, fes, 102298030794095.09, 35.53, 24276
2, fes, 102238730838701.41, 36.14, 24704
2, fes, 102173628064375.73, 36.75, 25129
2, fes, 102391244047787.88, 37.36, 25557
2, fes, 102422629841841.87, 37.97, 25980
2, fes, 102424995087624.00, 38.58, 26396
2, fes, 102138477059170.85, 39.19, 26819
2, fes, 102037312316539.02, 39.81, 27248
2, fes, 102032814021107.24, 40.42, 27670
2, fes, 102197688250966.84, 41.03, 28087
2, fes, 102158154030171.88, 41.64, 28512
2, fes, 101909027941268.73, 42.25, 28931
2, fes, 101969361239370.89, 42.86, 29345
2, fes, 101892518240836.85, 43.47, 29761
2, fes, 101798785597374.90, 44.08, 30180
2, fes, 101762056116536.00, 44.69, 30595
2, fes, 101647458604878.72, 45.30, 31011
2, fes, 101489408449340.01, 45.91, 31429
2, fes, 101452668665001.34, 46.52, 31842
2, fes, 101550156264835.17, 47.13, 32254
2, fes, 101512141558350.84, 47.74, 32674
2, fes, 101556988010107.60, 48.35, 33106
2, fes, 101368462639470.92, 48.96, 33548
2, fes, 101392988549109.60, 49.57, 33993
2, fes, 101281398206455.23, 50.18, 34446
2, fes, 101161598613155.69, 50.79, 34909
2, fes, 101132621610432.36, 51.40, 35373
2, fes, 101001384010144.76, 52.01, 35842
2, fes, 100931287656445.41, 52.62, 36312
2, fes, 100809105588787.69, 53.23, 36785
2, fes, 100797041377899.80, 53.84, 37259
2, fes, 100634468870449.96, 54.45, 37742
2, fes, 100625319501437.08, 55.06, 38217
2, fes, 100640049290119.26, 55.67, 38701
2, fes, 100563674892182.26, 56.28, 39175
2, fes, 100517032414169.57, 56.89, 39633
2, fes, 100539534189670.80, 57.50, 40084
2, fes, 100487992927371.87, 58.11, 40537
2, fes, 100616291248976.06, 58.72, 40983
2, fes, 100621232258469.67, 59.33, 41418
2, fes, 100607758551303.26, 59.94, 41853
3, fes, 181402510959964.73, 0.01, 5
3, fes, 104521476730314.62, 0.62, 439
3, fes, 106507176169306.45, 1.23, 873
3, fes, 113135468694560.09, 1.84, 1305
3, fes, 109666559296788.04, 2.45, 1733
3, fes, 105199407486768.46, 3.06, 2155
3, fes, 103042565809331.14, 3.67, 2576
3, fes, 102703736018418.61, 4.27, 2995
3, fes, 100543632798324.25, 4.87, 3406
3, fes, 102802235179906.94, 5.47, 3820
3, fes, 102437535844609.68, 6.07, 4232
3, fes, 101418360104924.50, 6.67, 4650
3, fes, 100851395735505.35, 7.27, 5060
3, fes, 100322949138443.81, 7.87, 5476
3, fes, 100500826144391.46, 8.47, 5892
3, fes, 100520179150790.64, 9.07, 6298
3, fes, 100328454832702.61, 9.67, 6708
3, fes, 100929910984935.74, 10.27, 7125
3, fes, 101591020891654.61, 10.87, 7535
3, fes, 101717526304811.34, 11.47, 7944
3, fes, 101475106441394.41, 12.07, 8361
3, fes, 101368255900553.83, 12.67, 8774
3, fes, 101688704190540.31, 13.27, 9187
3, fes, 101432814312972.09, 13.87, 9597
3, fes, 101940156716360.70, 14.47, 10007
