exp_rep, bfly, algo, time, preprocess_time, iterations
1, pcs, 105277413008675.79, 0.01, 845.05, 249
1, pcs, 101534366073863.37, 0.62, 845.05, 41608
1, pcs, 101747701883877.32, 1.23, 845.05, 98591
1, pcs, 102062840716173.15, 1.84, 845.05, 161263
1, pcs, 101749835731933.92, 2.45, 845.05, 232909
1, pcs, 101587986821575.11, 3.06, 845.05, 306731
1, pcs, 101509156384262.59, 3.67, 845.05, 388533
1, pcs, 101604789064251.88, 4.27, 845.05, 466725
1, pcs, 101527520499662.57, 4.87, 845.05, 547697
1, pcs, 101566051548954.83, 5.47, 845.05, 628868
1, pcs, 101575158885636.85, 6.07, 845.05, 716973
1, pcs, 101618595884944.88, 6.67, 845.05, 801754
1, pcs, 101609884128897.67, 7.27, 845.05, 885502
1, pcs, 101625020779723.27, 7.87, 845.05, 982973
1, pcs, 101596455629735.52, 8.47, 845.05, 1070689
1, pcs, 101607471917542.48, 9.07, 845.05, 1157930
1, pcs, 101565769785332.44, 9.67, 845.05, 1252477
1, pcs, 101575596181054.73, 10.27, 845.05, 1341894
1, pcs, 101540529623424.96, 10.87, 845.05, 1439034
1, pcs, 101538882903584.59, 11.47, 845.05, 1531486
1, pcs, 101550297056388.14, 12.07, 845.05, 1614430
1, pcs, 101511031178859.17, 12.67, 845.05, 1689105
1, pcs, 101522668247656.90, 13.27, 845.05, 1770606
1, pcs, 101520209861857.60, 13.87, 845.05, 1844631
1, pcs, 101515860169656.58, 14.47, 845.05, 1923869
1, pcs, 101516580350742.70, 15.07, 845.05, 1995331
1, pcs, 101509433339135.87, 15.67, 845.05, 2070531
1, pcs, 101497439755832.82, 16.27, 845.05, 2155791
1, pcs, 101503814019545.89, 16.87, 845.05, 2244912
1, pcs, 101468165529239.95, 17.47, 845.05, 2330201
1, pcs, 101458278792919.73, 18.07, 845.05, 2425411
1, pcs, 101451412047858.74, 18.67, 845.05, 2516101
1, pcs, 101451522764564.05, 19.27, 845.05, 2614067
1, pcs, 101458162258089.68, 19.87, 845.05, 2713596
1, pcs, 101454576540200.18, 20.47, 845.05, 2814740
1, pcs, 101443625706312.55, 21.07, 845.05, 2922929
1, pcs, 101446549855626.48, 21.67, 845.05, 3022371
1, pcs, 101425592003485.58, 22.27, 845.05, 3131124
1, pcs, 101418508965471.92, 22.87, 845.05, 3234005
1, pcs, 101425694067176.27, 23.47, 845.05, 3338892
1, pcs, 101427602960883.45, 24.07, 845.05, 3438143
1, pcs, 101415227847090.54, 24.67, 845.05, 3540240
1, pcs, 101426550901895.98, 25.27, 845.05, 3646298
1, pcs, 101425796133845.85, 25.87, 845.05, 3759499
1, pcs, 101431688043053.83, 26.47, 845.05, 3863542
1, pcs, 101455942973080.36, 27.07, 845.05, 3972155
1, pcs, 101453683850216.08, 27.67, 845.05, 4076640
1, pcs, 101457974084565.05, 28.27, 845.05, 4184525
1, pcs, 101452717250319.80, 28.87, 845.05, 4288929
1, pcs, 101476489874169.03, 29.47, 845.05, 4388395
1, pcs, 101477739723995.49, 30.07, 845.05, 4490493
1, pcs, 101472398458575.22, 30.67, 845.05, 4597514
1, pcs, 101462256114412.25, 31.27, 845.05, 4703253
1, pcs, 101479819387371.69, 31.87, 845.05, 4811767
1, pcs, 101485358078747.49, 32.48, 845.05, 4926932
1, pcs, 101485344621946.18, 33.09, 845.05, 5030412
1, pcs, 101490123646980.41, 33.70, 845.05, 5132493
1, pcs, 101487364310924.34, 34.31, 845.05, 5244940
1, pcs, 101475950074193.99, 34.92, 845.05, 5353191
1, pcs, 101473954682280.35, 35.53, 845.05, 5464903
1, pcs, 101475140930660.43, 36.14, 845.05, 5565773
1, pcs, 101481261845339.00, 36.75, 845.05, 5669378
1, pcs, 101480381372444.29, 37.36, 845.05, 5771508
1, pcs, 101479954011271.92, 37.97, 845.05, 5880723
1, pcs, 101480965495792.37, 38.58, 845.05, 5987424
1, pcs, 101469180921998.35, 39.19, 845.05, 6100024
1, pcs, 101465074175901.67, 39.80, 845.05, 6208307
1, pcs, 101465443746114.28, 40.41, 845.05, 6312207
1, pcs, 101461810961176.84, 41.02, 845.05, 6413826
1, pcs, 101452111687435.61, 41.63, 845.05, 6528695
1, pcs, 101461853856268.56, 42.24, 845.05, 6637228
1, pcs, 101461399684804.70, 42.85, 845.05, 6750840
1, pcs, 101458005715865.90, 43.46, 845.05, 6850622
1, pcs, 101457711166096.21, 44.07, 845.05, 6963332
1, pcs, 101460583062779.18, 44.68, 845.05, 7074123
1, pcs, 101459764730760.13, 45.29, 845.05, 7194292
1, pcs, 101454635934265.16, 45.90, 845.05, 7302943
1, pcs, 101458776231130.41, 46.51, 845.05, 7419461
1, pcs, 101452499730955.73, 47.12, 845.05, 7526314
1, pcs, 101450243580447.89, 47.73, 845.05, 7646895
1, pcs, 101454990776567.55, 48.34, 845.05, 7753331
1, pcs, 101452142165769.66, 48.95, 845.05, 7874861
1, pcs, 101459384679279.47, 49.56, 845.05, 7987936
