exp_rep, bfly, algo, time, preprocess_time, iterations
1, ps, 102993388902902.17, 0.01, 73.07, 620
1, ps, 99669318748958.80, 0.62, 73.07, 91983
1, ps, 99655780155071.86, 1.23, 73.07, 193694
1, ps, 100037857450744.59, 1.84, 73.07, 298769
1, ps, 100263028535711.75, 2.45, 73.07, 418833
1, ps, 100430786609666.92, 3.06, 73.07, 539793
1, ps, 100255491694653.95, 3.67, 73.07, 667741
1, ps, 100524854436782.23, 4.27, 73.07, 792906
1, ps, 100607498245117.71, 4.87, 73.07, 920773
1, ps, 100697689965670.73, 5.47, 73.07, 1046739
1, ps, 100518733510236.34, 6.07, 73.07, 1176708
1, ps, 100678027098956.00, 6.67, 73.07, 1302604
1, ps, 100815246874599.48, 7.27, 73.07, 1438875
1, ps, 100830296266299.50, 7.87, 73.07, 1582130
1, ps, 100870257529712.54, 8.47, 73.07, 1728624
1, ps, 100826035025035.18, 9.07, 73.07, 1867719
1, ps, 100906445234602.01, 9.67, 73.07, 2013371
1, ps, 100759796152662.39, 10.27, 73.07, 2156576
1, ps, 100794669431083.73, 10.87, 73.07, 2290843
1, ps, 100867242107135.54, 11.47, 73.07, 2429935
1, ps, 100907266479478.09, 12.07, 73.07, 2555824
1, ps, 100893276861969.20, 12.67, 73.07, 2690282
1, ps, 100885433200496.92, 13.27, 73.07, 2835058
1, ps, 100945947564624.23, 13.87, 73.07, 2967121
1, ps, 100959590956830.19, 14.47, 73.07, 3091447
1, ps, 101037745771661.03, 15.07, 73.07, 3227211
1, ps, 101073754946013.95, 15.67, 73.07, 3355864
1, ps, 101143874735738.80, 16.27, 73.07, 3492576
1, ps, 101155635804443.77, 16.87, 73.07, 3617070
1, ps, 101135396948242.21, 17.47, 73.07, 3751847
1, ps, 101121450888498.78, 18.07, 73.07, 3880843
1, ps, 101107282709831.09, 18.67, 73.07, 4006094
1, ps, 101069393130977.72, 19.27, 73.07, 4131032
1, ps, 101088877830405.49, 19.87, 73.07, 4260741
1, ps, 101044895076269.49, 20.47, 73.07, 4380663
1, ps, 101043444707833.45, 21.07, 73.07, 4501702
1, ps, 101037911082154.93, 21.67, 73.07, 4632321
1, ps, 101010998740313.08, 22.27, 73.07, 4753938
1, ps, 101029048311933.42, 22.87, 73.07, 4870073
1, ps, 101015310906791.24, 23.47, 73.07, 4975472
